municipio,codigo,gentilico,prefeito,area_km2,populacao_censo_2022,densidade_hab_km2,populacao_estimada_2025,escolarizacao_pct,idhm,mortalidade_infantil,receitas_brutas,despesas_brutas,pib_per_capita
Jardim do Mulato,2205250,jardimulatense,DEJAIR LIMA DE SOUSA,511.42,4180,8.19,4235,97.98,0.593,47.62,36862500.19,33390087.23,12314.82
Jatobá do Piauí,2205276,jatobaense,RAIMUNDO NONATO GOMES DE OLIVEIRA,651.747,4494,6.91,4560,100.0,0.566,,33468590.57,30822658.54,15576.98
Jerumenha,2205300,jerumenhense,JOSÉ INÁCIO PEREIRA DA SILVA JÚNIOR,1865.94,4497,2.41,4606,98.68,0.591,33.33,35845738.0,32371790.2,15315.81
João Costa,2205359,joão costense,GILSON CASTRO DE ASSIS,1800.237,2970,1.65,3033,99.21,0.561,27.78,36513413.6,33338553.4,27629.45
Joaquim Pires,2205409,joaquim-pirense,DEYVISON GONÇALVES CRUZ,756.188,13886,18.75,14265,99.29,0.522,11.43,78068166.95,76866251.72,10481.29
Joca Marques,2205458,jocamarquense,FABIANNA SPINDOLA MARQUES,169.005,5394,31.92,5552,95.21,0.504,58.82,35913208.79,36834379.01,10775.79
José de Freitas,2205508,freitense,PEDRO GOMES DOS SANTOS FILHO,1538.175,42559,27.67,44689,99.68,0.618,17.61,182326553.34,216377198.49,13013.65
Juazeiro do Piauí,2205516,juazeirense,JOSE WILSON PEREIRA GOMES,935.404,5214,5.57,5308,100.0,0.57,18.87,42227553.83,39412309.06,12918.12
Júlio Borges,2205524,julio borgense,JOÃO PAULO PEREIRA E SILVA,1283.918,5388,4.2,5501,98.79,0.582,26.67,47833684.16,45519911.76,20016.12
Jurema,2205532,juremense,KAYLANNE DA SILVA OLIVEIRA,1271.881,4425,3.48,4501,98.29,0.555,39.47,49446452.55,45194406.16,13120.56
Lagoinha do Piauí,2205540,lagoinense,KELLY ALVES ALENCAR,67.649,2939,43.44,3044,99.2,0.597,,25868159.44,23089548.38,15852.26
Lagoa Alegre,2205557,lagoalegrense,OSAEL MOITA LEAL,394.207,8256,20.94,8464,99.27,0.55,51.55,60693041.29,61889505.36,11635.73
Lagoa do Barro do Piauí,2205565,lagoa do barrense,REGINALDO APARECIDO COSTA COELHO,1331.025,4995,3.75,5171,100.0,0.502,,84809992.54,76832269.15,73812.32
Lagoa de São Francisco,2205573,lagoense,JOÃO ARILSON DE MESQUITA BEZERRA,155.86,6331,40.62,6446,99.76,0.529,,50382586.64,47041712.22,10787.99
Lagoa do Piauí,2205581,lagoense,CAMILA BARBOSA SOUSA OLIVEIRA,435.871,4810,11.24,5017,99.42,0.583,18.18,34246538.36,32162367.49,20966.44
Lagoa do Sítio,2205599,sitiolagoense,JOSE SAVIO DE MOURA E SILVA,805.018,4520,5.61,4559,100.0,0.541,19.23,37133734.04,35234243.02,11843.89
Landri Sales,2205607,landri-salesiano,DELISMON SOARES PEREIRA,1088.583,5213,4.79,5309,98.68,0.584,35.09,50855179.87,47069482.84,24792.33
Luís Correia,2205706,luís-correiense,MARIA DAS DORES FONTENELE BRITO,1074.133,30641,28.53,31901,99.11,0.541,25.58,163083282.21,159705869.6,15071.51
Luzilândia,2205805,luzilandense,FERNANDA PINTO MARQUES,699.182,25375,35.96,26143,97.31,0.545,17.24,146708054.37,138600424.06,12553.79
Madeiro,2205854,madeirense,ALANDELON ARAUJO DOS SANTOS,178.843,8032,44.91,8231,100.0,0.563,8.13,41365739.12,33926994.58,10871.74
Manoel Emídio,2205904,manoel-emidense,ORLANDO ALMEIDA DE ARAUJO,1620.412,5209,3.21,5315,99.53,0.573,,34759953.67,31846484.75,13333.95
Marcolândia,2205953,marcolandense,CORINTO MACHADO DE MATOS NETO,136.786,8533,62.38,8822,97.81,0.562,7.35,72684197.46,69223029.95,22835.46
Marcos Parente,2206001,marcoense,GEDISON ALVES RODRIGUES,677.416,4724,6.97,4863,97.93,0.59,,34964382.84,32671203.68,14543.85
Massapê do Piauí,2206050,massapêense,WILTON COUTINHO SILVA,530.169,5218,9.84,5165,98.05,0.525,,40609631.2,39464582.4,11675.45
Matias Olímpio,2206100,matiense,GENIVALDO NASCIMENTO ALMEIDA,226.785,10641,46.92,10886,99.31,0.562,32.05,62424380.72,56722183.51,12453.37
Miguel Alves,2206209,miguel-alvense,FRANCISCO ANTONIO REBELO DE PAIVA,1392.122,32150,23.09,33074,98.95,0.539,18.18,198550338.77,184264074.65,13122.77
Miguel Leão,2206308,leonino,NEUZA CUNHA DE ARAÚJO,102.761,1318,14.11,1355,100.0,0.623,,24355864.03,22895185.94,26322.75
Milton Brandão,2206357,milton brandãoense,FRANCISCO EVANGELISTA RESENDE,1310.728,6542,5.0,6681,99.67,0.508,,35554443.46,33863507.22,10382.88
Monsenhor Gil,2206407,monsenhorgilense,EVANDRO LEAL DE ABREU,552.427,10255,18.06,10513,99.58,0.615,17.24,59095983.79,56041969.69,15760.8
Monsenhor Hipólito,2206506,hipolitano,ANTONIO DJALMA BEZERRA POLICARPO,401.568,7577,18.87,7762,99.32,0.561,37.38,50145968.6,49628940.97,12065.99
Monte Alegre do Piauí,2206605,montealegrense,DIJALMA GOMES MASCARENHAS,2417.394,10660,4.41,10928,98.85,0.578,,78849593.31,71236057.52,36708.6
Morro Cabeça no Tempo,2206654,morrense,JOSUÉ ALVES DA SILVA,2207.658,4377,1.98,4456,98.84,0.542,,46884286.24,50046499.01,12180.55
Morro do Chapéu do Piauí,2206670,morrochapeuense,ERIKSON FENELON AGUIAR,314.436,6425,19.56,6548,98.5,0.55,11.63,44031361.97,40842242.22,11779.57
Murici dos Portelas,2206696,muriciense,ANA LINA DE CARVALHO CUNHA SALES,475.72,9797,20.59,10210,98.23,0.53,10.2,52672051.53,48161179.25,10577.77
Nazaré do Piauí,2206704,nazareno-do-piauí,RONIELTON COSTA DE OLIVEIRA,1316.762,6665,5.07,6697,99.75,0.576,12.35,39321172.57,34925471.55,11824.78
Nazária,2206720,nazariense,JOAQUIM NONATO DA SILVA FILHO,362.376,10262,28.32,10821,98.41,0.602,,59836834.42,48336858.09,13065.29
Nossa Senhora de Nazaré,2206753,nazareno,JOSÉ HENRIQUE DE OLIVEIRA ALVES,356.872,5228,14.65,5442,100.0,0.586,,49094154.25,47750004.0,13242.08
Nossa Senhora dos Remédios,2206803,remediense,JOSÉ FERNANDO OLIVEIRA DE BRITO,357.896,8525,23.82,8751,98.62,0.533,20.0,82179241.1,79527398.7,13812.42
Novo Oriente do Piauí,2206902,novo-orientino,FRANCISCO AFONSO RIBEIRO SOBREIRA,525.906,6097,11.59,6158,100.0,0.562,,37804173.49,34123724.84,10956.76
Novo Santo Antônio,2206951,santantoniense,ELISA MARIA DA SILVA PAZ,443.873,2827,6.37,2888,100.0,0.528,,31333670.98,28315927.11,13640.99
Oeiras,2207009,oeirense,HAILTON ALVES FILHO,2696.724,38161,14.12,39687,99.38,0.634,16.29,193307181.66,188169130.08,19394.05
Olho D'Água do Piauí,2207108,olho d’aguense,ANTONIO LEAL DA SILVA,183.605,2637,14.36,2730,99.42,0.576,,27897319.5,25273642.71,14541.65
Padre Marcos,2207207,padremarcoense,WILIANE KELLY DA SILVA,278.696,6382,22.9,6468,99.43,0.541,13.7,50244299.99,47434059.79,13858.49
Paes Landim,2207306,paes-landinense,FRANCINALDO MORAES BEZERRA,401.379,4088,10.18,4176,98.55,0.575,,35255632.14,34419270.4,14242.71
Pajeú do Piauí,2207355,pajeuense,DALVAN GONÇALVES DE MOURA CARVALHO,986.961,3000,3.04,3032,100.0,0.559,,36661083.64,36246532.55,20361.28
Palmeira do Piauí,2207405,palmeirino,HUGUEMAR ROSAL LUSTOSA FILHO,2023.971,4952,2.45,5047,99.46,0.557,,46022208.81,40444645.1,36399.15
Palmeirais,2207504,palmeirense,JOSÉ BALTAZAR DE OLIVEIRA,1493.766,13264,8.88,13458,98.97,0.562,19.23,83367041.96,77454564.55,12640.47
Paquetá,2207553,paquetaense,ANDERSON CLAYTON DA SILVA BARROS,432.572,3813,8.81,3873,96.83,0.509,26.32,47903211.71,44110783.98,13956.62
Parnaguá,2207603,parnaguaense,MIGUEL OMAR BARRETO RISSI,3428.811,10103,2.95,10282,98.94,0.575,23.26,49746581.07,44783031.78,13258.33
Parnaíba,2207702,parnaibano,FRANCISCO EMANUEL CUNHA DE BRITO,436.907,162159,371.15,170491,98.39,0.687,7.88,760407257.32,721839035.03,22707.01
Passagem Franca do Piauí,2207751,passagemfranquense,SAULO VINICIUS RODRIGUES SATURNINO,643.209,4135,6.43,4222,99.09,0.561,,36965822.8,38182305.51,15170.04
Patos do Piauí,2207777,patoense,JOAQUIM LOPES DOS REIS NETO,801.403,5425,6.77,5427,98.38,0.563,22.73,44035456.22,36841121.29,12099.7
Pau D'Arco do Piauí,2207793,paudarcopiense,ANTONIO MILTON DE ABREU PASSOS,430.024,3880,9.02,3979,99.17,0.514,,27378622.74,24489620.75,11328.4
Paulistana,2207801,paulistanense,OSVALDO MAMEDIO DA COSTA,1937.343,21055,10.85,21633,99.23,0.6,14.78,145129553.68,128141377.83,17060.81
Pavussu,2207850,pavussuense,WININCIUS VILANOVA DE MIRANDA,1090.697,3628,3.33,3697,96.83,0.526,,34426581.0,35230002.17,12630.47
Pedro II,2207900,pedro-segundense,ELISABETE RODRIGUES DE OLIVEIRA NUNES BRANDÃO,1544.373,37894,24.54,39072,98.66,0.571,17.06,198226837.49,191598793.65,13193.01
Pedro Laurentino,2207934,pedro laurentinense,CARLOS HENRIQUE COELHO REIS,870.613,2458,2.82,2517,99.02,0.562,35.71,28723791.54,25852570.33,15534.9
Nova Santa Rita,2207959,Santaritense,HELI MARQUES DE CARVALHO,909.734,4076,4.48,4142,100.0,0.554,,33458352.98,29279476.88,12672.74
Picos,2208007,picoense,PABLO DANTAS DE MOURA SANTOS,577.284,83090,143.93,86701,99.4,0.698,17.26,398285568.74,373860700.47,29566.51
Pimenteiras,2208106,pimenteirense,MARIA LUCIA DE LACERDA,4555.95,11341,2.49,11487,99.32,0.566,9.8,56984661.37,64194975.8,10603.74
Pio IX,2208205,pio-nonense,SILAS NORONHA MOTA,1948.141,17613,9.04,17948,99.25,0.564,14.56,93403548.41,87250569.53,13288.76
Piracuruca,2208304,piracuruquense,FRANCISCO MARCELO CARVALHO MENDES,2309.93,28846,12.18,29721,99.34,0.596,11.36,132337287.93,119723250.81,16108.84
Piripiri,2208403,piripiriense,JOVENILIA ALVES DE OLIVEIRA MONTEIRO,1406.925,65538,46.57,67887,98.84,0.635,13.87,321717790.36,311920112.68,18956.35
Porto,2208502,portuense,ALUIZIO MOREIRA VAZ,253.114,12052,47.62,12323,98.97,0.549,,90046394.74,90701847.41,11871.67
Porto Alegre do Piauí,2208551,porto alegrense,ANTÔNIO AVELINO ROCHA DE NEIVA,1168.044,2364,2.02,2382,100.0,0.563,,31451234.16,28657788.37,20238.28
Prata do Piauí,2208601,pratense,ACELINO MENDES DE MOURA,196.786,3042,15.46,3096,99.56,0.565,,31522267.95,26695540.74,14252.26
Queimada Nova,2208650,queimadanovense,GILMAR MACEDO DE ANDRADE,1283.369,8738,6.81,8948,98.9,0.515,,59852966.63,54652934.44,21609.96
