municipio,codigo,gentilico,prefeito,area_km2,populacao_censo_2022,densidade_hab_km2,populacao_estimada_2025,escolarizacao_pct,idhm,mortalidade_infantil,receitas_brutas,despesas_brutas,pib_per_capita
São Pedro do Piauí,2210508,são-pedrense,LINDOMAR GONÇALVES DE ALENCAR,518.285,13755,26.54,14055,98.82,0.595,23.81,95265358.96,88245846.75,11592.28
São Raimundo Nonato,2210607,são-raimundense,ROGÉRIO ARAÚJO DE CASTRO,2415.29,38934,16.12,41139,98.86,0.661,8.91,198514381.56,197147316.29,19566.06
Sebastião Barros,2210623,sebastião barrense,PABLO CUSTODIO MENDES DE CARVALHO,893.489,3202,3.58,3210,97.54,0.536,27.78,38018757.71,34191368.49,17981.65
Sebastião Leal,2210631,sebastião-lealense,MANOELINA DE SOUSA BORGES,3148.866,4446,1.41,4590,100.0,0.562,,49433093.35,45713685.09,163047.99
Sigefredo Pacheco,2210656,sigefredense,MURILO BANDEIRA DA SILVA,1031.102,9460,9.17,9623,100.0,0.581,23.26,45983703.56,44761492.85,10254.31
Simões,2210706,simonense,ITALO MAGNO DANTAS LOPES DE CARVALHO,1076.055,14350,13.34,14664,98.92,0.575,19.32,101952887.11,100418911.4,37844.46
Simplício Mendes,2210805,simplício-mendense,MÁRCIO JOSE PINHEIRO MOURA,1360.04,13870,10.2,14437,98.85,0.627,5.62,91769817.59,83928756.07,17066.38
Socorro do Piauí,2210904,socorrense,ADERSON BARBOSA RIBEIRO SÁ FILHO,761.854,4141,5.44,4165,98.83,0.561,,39772215.52,37742053.43,12776.5
Sussuapara,2210938,sussuaparense,NAERTON SILVA MOURA,205.194,6220,30.31,6346,99.58,0.586,29.13,50038685.22,43243361.77,13712.76
Tamboril do Piauí,2210953,tamborilense,GLAUERT COELHO ALMEIDA,1587.296,2949,1.86,3040,100.0,0.501,,31111655.52,31180632.2,13270.12
Tanque do Piauí,2210979,tanquense,NATANAEL SALES DE SOUSA,408.985,2316,5.82,2319,100.0,0.579,34.48,28392014.75,26717187.14,19013.4
Teresina,2211001,teresinense,SILVIO MENDES DE OLIVEIRA FILHO,1387.466,866300,622.66,905692,98.82,0.751,14.71,5396868035.81,5396776250.15,33994.07
União,2211100,unionense,GUSTAVO CONDE MEDEIROS,1170.754,46119,39.39,47896,97.02,0.577,11.15,277359666.18,276802978.28,13207.62
Uruçuí,2211209,uruçuiense,GILBERTO GONÇALVES SILVA JUNIOR,8413.009,25203,3.0,26779,98.14,0.631,20.32,271270050.53,279725953.97,167688.99
Valença do Piauí,2211308,valenciano,MARCELO COSTA E SILVA,1333.722,22279,16.7,23025,99.61,0.647,12.45,99988547.76,107711562.58,17319.61
Várzea Branca,2211357,varzea-branquense,RAIMUNDO NONATO ALVES PAES LANDIM,450.429,5055,11.22,5181,97.59,0.553,,38926087.0,36341161.49,12036.82
Várzea Grande,2211407,várzea-grandense,ROBERT EUDES NUNES DE SOUSA SEGUNDO,236.453,4417,18.68,4520,97.46,0.571,,29766984.07,26329240.96,12375.88
Vera Mendes,2211506,veramendense,CARLOS JOSÉ DA SILVA,341.975,3185,9.31,3282,100.0,0.503,,43553399.42,31424222.11,12180.94
Vila Nova do Piauí,2211605,vilanovense,MANOEL BERNARDO LEAL,221.627,2935,13.24,2972,97.58,0.565,,36340924.74,35747058.25,14283.09
Wall Ferraz,2211704,wal farrazense,LUIZ GUILHERME MAIA DE SOUSA,317.278,4059,15.01,4195,100.0,0.544,,54355707.1,54661060.31,14324.63
